Case No,Category Name
KM-19382,Category not assigned
KM-19377,Farm Pond
KM-19381,Information
KM-19380,No path way to field
KM-19275,PMEGP issue
KM-19379,Horticulture Inputs
KM-19378,Kisan Samman
KM-19376,Crop Loss
KM-19375,Information
KM-07483,Information
KM-08789,Information
KM-08788,Information
KM-08594,Information
KM-08442,Information
KM-08441,Category not assigned
KM-14635,Information
KM-08790,Information
KM-07917,Information
KM-08794,Crop Loss
KM-05473,Information
KM-05615,Category not assigned
KM-05617,Suicide Case
KM-05486,Information
KM-06402,Information
KM-05239,Rythu Bandhu
KM-05243,Rythu Bandhu
KM-19374,PMEGP issue
KM-19368,IHHL Payments
KM-19373,Issue of new PPB
KM-19370,IHHL Payments
KM-19371,IHHL Payments
KM-19372,IHHL Payments
KM-19369,IHHL Payments
KM-19367,Subsidy
KM-19366,Subsidy
KM-19365,Information
KM-19364,Information
KM-19363,Information
KM-19362,Pest attack
KM-19288,Pest attack
KM-19361,Information
KM-19360,Information
KM-19359,Subsidy
KM-19358,Information
KM-19357,Information
KM-19298,Subsidy
KM-19356,Information
KM-19355,Information
KM-19354,Information
KM-19299,Pest attack
KM-19353,Information
KM-19352,Information
KM-19351,Information
KM-19350,Pest attack
KM-19349,Information
KM-19348,Information
KM-19347,Pest attack
KM-19346,Information
KM-19290,Pest attack
KM-19345,Information
KM-19344,Information
KM-19343,Information
KM-19340,Information
KM-19342,Pest attack
KM-19341,Subsidy
KM-19331,IHHL Payments
KM-19330,IHHL Payments
KM-19332,IHHL Payments
KM-19333,IHHL Payments
KM-19334,IHHL Payments
KM-19335,IHHL Payments
KM-19336,IHHL Payments
KM-19337,IHHL Payments
KM-19338,IHHL Payments
KM-19339,IHHL Payments
KM-19329,Other
KM-19328,NREGS-Delay/Low wages
KM-19327,Pest attack
KM-19326,Information
KM-19325,Pest attack
KM-19324,Information
KM-19323,Pest attack
KM-19322,Pest attack
KM-19321,Information
KM-19318,Pest attack
KM-19319,Soil test
KM-19320,Pest attack
KM-19317,Other
KM-19316,NREGS-Job card
KM-19315,NREGS-Job card
KM-19314,NREGS-Job card
KM-19313,NREGS-Job card
KM-19312,NREGS-Job card
KM-19302,Kisan Samman
KM-19311,Drip
KM-16256,YSR Bheema
KM-17523,Rythu Bharosa
KM-18127,Crop Loss
KM-16254,YSR Bheema
KM-17522,Rythu Bharosa
KM-17828,Crop Loss
KM-17829,Kisan Samman
KM-18486,Kisan Samman
KM-16249,YSR Bheema
KM-17521,Rythu Bharosa
KM-18110,Crop Loss
KM-16247,YSR Bheema
KM-17520,Rythu Bharosa
KM-18484,Kisan Samman
KM-18483,YSR Bheema
KM-18485,Annadata Sukhibhava
KM-18460,Kisan Samman
KM-18459,YSR Bheema
KM-18461,Annadata Sukhibhava
KM-16240,YSR Bheema
KM-17519,Rythu Bharosa
KM-18119,Crop Loss
KM-18402,Kisan Samman
KM-18401,Annadata Sukhibhava
KM-19310,Farm Pond
KM-19309,Soak Pit
KM-19308,Soak Pit
KM-19126,PMEGP issue
KM-19198,Vaccination
KM-19199,Vaccination
KM-19200,Vaccination
KM-19201,Vaccination
KM-19202,Vaccination
KM-19307,Kisan Samman
KM-19306,Kisan Samman
KM-19280,Market Issues
KM-19294,Information
KM-19301,Horticulture Inputs
KM-19300,Horticulture Inputs
KM-19305,Marketing intervention support
KM-19304,PMEGP issue
KM-19303,"1B, Adangal"
KM-19297,Horticulture Inputs
KM-19296,Horticulture Inputs
KM-19295,Subsidy
KM-19293,Pest attack
KM-19292,Pest attack
KM-19291,Pest attack
KM-19289,Pest attack
KM-19287,Pest attack
KM-19286,Kisan Samman
KM-19285,Pest attack
KM-19284,No path way to field
KM-19283,Pest attack
KM-18213,Kisan Samman
KM-18227,Kisan Samman
KM-18228,Kisan Samman
KM-18233,Kisan Samman
KM-18234,Kisan Samman
KM-18268,Kisan Samman
KM-18267,Kisan Samman
KM-18264,Kisan Samman
KM-18263,Kisan Samman
KM-18258,Kisan Samman
KM-18254,Kisan Samman
KM-18249,Kisan Samman
KM-18270,Kisan Samman
KM-18271,Kisan Samman
KM-18273,Kisan Samman
KM-18275,Kisan Samman
KM-18276,Kisan Samman
KM-18284,Kisan Samman
KM-18280,Kisan Samman
KM-18190,Kisan Samman
KM-18193,Kisan Samman
KM-18198,Kisan Samman
KM-18212,Kisan Samman
KM-18321,Kisan Samman
KM-18323,Kisan Samman
KM-18324,Kisan Samman
KM-18261,Kisan Samman
KM-18260,Kisan Samman
KM-18287,Kisan Samman
KM-18285,Kisan Samman
KM-18283,Kisan Samman
KM-18300,Kisan Samman
KM-18259,Kisan Samman
KM-18204,Kisan Samman
KM-18327,Kisan Samman
KM-18328,Kisan Samman
KM-18238,Kisan Samman
KM-18242,Kisan Samman
KM-18247,Kisan Samman
KM-18281,Kisan Samman
KM-18326,Kisan Samman
KM-18224,Kisan Samman
KM-19282,Land Corrections
KM-19281,Pest attack
KM-19279,Civil
KM-18360,Kisan Samman
KM-18368,Kisan Samman
KM-18356,Kisan Samman
KM-18354,Kisan Samman
KM-18347,Kisan Samman
KM-18345,Kisan Samman
KM-18343,Kisan Samman
KM-19203,Kisan Samman
KM-18332,Kisan Samman
KM-18169,Kisan Samman
KM-18167,Kisan Samman
KM-18170,Kisan Samman
KM-19115,Kisan Samman
KM-18239,Kisan Samman
KM-18387,Kisan Samman
KM-18382,Kisan Samman
KM-18165,Kisan Samman
KM-18248,Kisan Samman
KM-18948,Kisan Samman
KM-18371,Kisan Samman
KM-19278,Subsidy
KM-19277,Crop Booking
KM-19276,Sc corporation
KM-19274,Information
KM-19273,NREGS-Job card
KM-19053,Land Corrections
KM-19050,Land Corrections
KM-19272,PMEGP issue
KM-19266,Information
KM-19264,Information
KM-19265,Information
KM-19267,Information
KM-19268,Information
KM-19269,Information
KM-19213,Vaccination
KM-19212,Vaccination
KM-19211,Vaccination
KM-19210,Vaccination
KM-19209,Vaccination
KM-19208,Vaccination
KM-19207,Vaccination
KM-19214,Vaccination
KM-19215,Vaccination
KM-19216,Vaccination
KM-19217,Vaccination
KM-19219,Vaccination
KM-19220,Vaccination
KM-19218,Vaccination
KM-19221,Vaccination
KM-19222,Vaccination
KM-19223,Vaccination
KM-19227,Vaccination
KM-19226,Vaccination
KM-19225,Vaccination
KM-19224,Vaccination
KM-19229,Vaccination
KM-19228,Vaccination
KM-19230,Vaccination
KM-19232,Vaccination
KM-19231,Vaccination
KM-19233,Vaccination
KM-19234,Vaccination
KM-19236,Vaccination
KM-19235,Vaccination
KM-19237,Vaccination
KM-19238,Vaccination
KM-19239,Vaccination
KM-19240,Vaccination
KM-19241,Vaccination
KM-19242,Vaccination
KM-19243,Vaccination
KM-19244,Vaccination
KM-19245,Vaccination
KM-19246,Vaccination
KM-19247,Vaccination
KM-19248,Vaccination
KM-19250,Vaccination
KM-19253,Vaccination
KM-19252,Vaccination
KM-19251,Vaccination
KM-19249,Vaccination
KM-19254,Vaccination
KM-19255,Vaccination
KM-19256,Vaccination
KM-19257,Vaccination
KM-19258,Vaccination
KM-19259,Vaccination
KM-19260,Vaccination
KM-19261,Vaccination
KM-19262,Vaccination
KM-19263,Vaccination
KM-19270,Vaccination
KM-19271,Vaccination
KM-19057,PMEGP issue
KM-19205,Plants
KM-19206,land issue
KM-19204,Information
KM-18395,Annadata Sukhibhava
KM-18370,Annadata Sukhibhava
KM-17650,Annadata Sukhibhava
KM-18467,Annadata Sukhibhava
KM-18478,Annadata Sukhibhava
KM-18491,Annadata Sukhibhava
KM-18498,Annadata Sukhibhava
KM-18500,Annadata Sukhibhava
KM-18513,Annadata Sukhibhava
KM-18521,Annadata Sukhibhava
KM-18537,Annadata Sukhibhava
KM-18540,Annadata Sukhibhava
KM-18543,Annadata Sukhibhava
KM-18546,Annadata Sukhibhava
KM-18548,Annadata Sukhibhava
KM-18551,Annadata Sukhibhava
KM-18554,Annadata Sukhibhava
KM-18560,Annadata Sukhibhava
KM-18567,Annadata Sukhibhava
KM-18670,Annadata Sukhibhava
KM-18673,Annadata Sukhibhava
KM-18677,Annadata Sukhibhava
KM-18680,Annadata Sukhibhava
KM-18969,Annadata Sukhibhava
KM-18507,Annadata Sukhibhava
KM-18510,Annadata Sukhibhava
KM-18195,Annadata Sukhibhava
KM-18201,Annadata Sukhibhava
KM-18207,Annadata Sukhibhava
KM-18214,Annadata Sukhibhava
KM-18221,Annadata Sukhibhava
KM-18223,Annadata Sukhibhava
KM-18230,Annadata Sukhibhava
KM-18246,Annadata Sukhibhava
KM-18291,Annadata Sukhibhava
KM-18266,Annadata Sukhibhava
KM-18257,Annadata Sukhibhava
KM-18279,Annadata Sukhibhava
KM-18296,Annadata Sukhibhava
KM-18311,Annadata Sukhibhava
KM-18852,Annadata Sukhibhava
KM-18773,Annadata Sukhibhava
KM-18772,Annadata Sukhibhava
KM-18398,Annadata Sukhibhava
KM-18898,Annadata Sukhibhava
KM-18434,Annadata Sukhibhava
KM-18935,Annadata Sukhibhava
KM-18388,Annadata Sukhibhava
KM-18315,Annadata Sukhibhava
KM-18407,Annadata Sukhibhava
KM-18448,Annadata Sukhibhava
KM-18734,Annadata Sukhibhava
KM-18731,Annadata Sukhibhava
KM-18717,Annadata Sukhibhava
KM-18713,Annadata Sukhibhava
KM-18710,Annadata Sukhibhava
KM-18701,Annadata Sukhibhava
KM-18693,Annadata Sukhibhava
KM-18691,Annadata Sukhibhava
KM-18687,Annadata Sukhibhava
KM-18684,Annadata Sukhibhava
KM-18650,Annadata Sukhibhava
KM-18647,Annadata Sukhibhava
KM-18627,Annadata Sukhibhava
KM-18619,Annadata Sukhibhava
KM-18615,Annadata Sukhibhava
KM-18613,Annadata Sukhibhava
KM-18601,Annadata Sukhibhava
KM-18574,Annadata Sukhibhava
KM-18572,Annadata Sukhibhava
KM-19196,CCRC
KM-19119,Suicide Case
KM-19016,Subsidy
KM-19197,Information
KM-19190,Information
KM-19191,Information
KM-19195,Animal death
KM-19194,EC Correction
KM-19052,Land Corrections
KM-19054,Land Corrections
KM-19193,Land Corrections
KM-19192,Suicide Case
KM-12865,YSR Jala kala
KM-12986,Land transfer
KM-12986,Land Corrections
KM-14541,Land Corrections
KM-17125,Aasara Pensions - Widow
KM-18188,Kisan Samman
KM-16776,House
KM-12530,Issue of Patta-Assigned land
KM-18807,Crop Loss
KM-18812,Crop Loss
KM-18811,Crop Loss
KM-18810,Crop Loss
KM-18809,Crop Loss
KM-18853,Kisan Samman
KM-18855,JLG loan
KM-18860,JLG loan
KM-18808,Crop Loss
KM-18830,Information
KM-18871,Suicide Case
KM-18862,JLG loan
KM-18738,Land succession
KM-18804,Subsidy
KM-18800,YSR Bheema
KM-18899,CCRC
KM-17324,Drip
KM-18906,Issue of new PPB
KM-18740,Assigned Land
KM-18931,NREGS-Delay/Low wages
KM-18966,Information
KM-18971,NREGS Payment
KM-18972,NREGS Payment
KM-18973,Crop Loss
KM-18936,Kisan Samman
KM-18917,Information
KM-18968,Crop Booking
KM-18974,NREGS Payment
KM-18979,YSR Jala kala
KM-18979,Electrical
KM-19003,Information
KM-19010,Crop Booking
KM-19008,Crop Booking
KM-19007,Crop Booking
KM-19006,Crop Booking
KM-19009,Crop Booking
KM-15704,YSR Jala kala
KM-19015,Crop Booking
KM-19028,Information
