Case No,Department
KM-19382,Department not mapped
KM-19377,Rural Development
KM-19381,Horticulture
KM-19380,Revenue
KM-19275,Animal Husbandary & Veternary
KM-19379,Horticulture
KM-19378,Agriculture - KM
KM-19376,Horticulture
KM-19375,Horticulture
KM-07483,Agriculture - KM
KM-08789,Agriculture - KM
KM-08788,Agriculture - KM
KM-08594,Insurance
KM-08442,Horticulture
KM-08441,Department not mapped
KM-14635,Department not mapped
KM-08790,Agriculture - KM
KM-07917,Kisan Mitra Help Line
KM-08794,Agriculture - KM
KM-05473,Agriculture - KM
KM-05615,Department not mapped
KM-05617,Revenue
KM-05486,Revenue
KM-05486,Agriculture - KM
KM-06402,Agriculture - KM
KM-05239,Banking
KM-05243,Revenue
KM-19374,Animal Husbandary & Veternary
KM-19368,Rural Development
KM-19373,Revenue
KM-19370,Rural Development
KM-19371,Rural Development
KM-19372,Rural Development
KM-19369,Rural Development
KM-19367,Agriculture - KM
KM-19366,Agriculture - KM
KM-19365,Horticulture
KM-19364,Agriculture - KM
KM-19363,Horticulture
KM-19362,Agriculture - KM
KM-19288,Horticulture
KM-19361,Agriculture - KM
KM-19360,Agriculture - KM
KM-19359,Agriculture - KM
KM-19358,Agriculture - KM
KM-19357,Agriculture - KM
KM-19298,Agriculture - KM
KM-19356,Agriculture - KM
KM-19355,Agriculture - KM
KM-19354,Agriculture - KM
KM-19299,Horticulture
KM-19353,Horticulture
KM-19352,Horticulture
KM-19351,Horticulture
KM-19350,Horticulture
KM-19349,Horticulture
KM-19348,Agriculture - KM
KM-19347,Horticulture
KM-19346,Horticulture
KM-19290,Horticulture
KM-19345,Horticulture
KM-19344,Agriculture - KM
KM-19343,Agriculture - KM
KM-19340,Horticulture
KM-19342,Horticulture
KM-19341,Rural Development
KM-19331,Rural Development
KM-19330,Rural Development
KM-19332,Rural Development
KM-19333,Rural Development
KM-19334,Rural Development
KM-19335,Rural Development
KM-19336,Rural Development
KM-19337,Rural Development
KM-19338,Rural Development
KM-19339,Rural Development
KM-19329,Rural Development
KM-19328,Rural Development
KM-19327,Horticulture
KM-19326,Agriculture - KM
KM-19325,Horticulture
KM-19324,Agriculture - KM
KM-19323,Horticulture
KM-19322,Horticulture
KM-19321,Agriculture - KM
KM-19318,Horticulture
KM-19319,Agriculture - KM
KM-19320,Horticulture
KM-19317,Medical Dept.
KM-19316,Rural Development
KM-19315,Rural Development
KM-19314,Rural Development
KM-19313,Rural Development
KM-19312,Rural Development
KM-19302,Agriculture - KM
KM-19311,Horticulture
KM-16256,Agriculture - KM
KM-17523,Agriculture - KM
KM-18127,Horticulture
KM-16254,Agriculture - KM
KM-17522,Agriculture - KM
KM-17828,Horticulture
KM-17829,Agriculture - KM
KM-18486,Agriculture - KM
KM-16249,Agriculture - KM
KM-17521,Agriculture - KM
KM-18110,Horticulture
KM-16247,Agriculture - KM
KM-17520,Agriculture - KM
KM-18484,Agriculture - KM
KM-18483,Agriculture - KM
KM-18485,Agriculture - KM
KM-18460,Agriculture - KM
KM-18459,Agriculture - KM
KM-18461,Agriculture - KM
KM-16240,Agriculture - KM
KM-17519,Agriculture - KM
KM-18119,Horticulture
KM-18402,Agriculture - KM
KM-18401,Agriculture - KM
KM-19310,Rural Development
KM-19309,Rural Development
KM-19308,Rural Development
KM-19126,Animal Husbandary & Veternary
KM-19198,Animal Husbandary & Veternary
KM-19199,Animal Husbandary & Veternary
KM-19200,Animal Husbandary & Veternary
KM-19201,Animal Husbandary & Veternary
KM-19202,Animal Husbandary & Veternary
KM-19307,Agriculture - KM
KM-19306,Agriculture - KM
KM-19280,Marketing
KM-19294,Animal Husbandary & Veternary
KM-19301,Horticulture
KM-19300,Horticulture
KM-19305,Markfed
KM-19304,Banking
KM-19303,Revenue
KM-19297,Horticulture
KM-19296,Horticulture
KM-19295,Agriculture - KM
KM-19293,Horticulture
KM-19292,Horticulture
KM-19291,Horticulture
KM-19289,Horticulture
KM-19287,Horticulture
KM-19286,Agriculture - KM
KM-19285,Horticulture
KM-19284,Revenue
KM-19283,Horticulture
KM-18213,Agriculture - KM
KM-18227,Agriculture - KM
KM-18228,Agriculture - KM
KM-18233,Agriculture - KM
KM-18234,Agriculture - KM
KM-18268,Agriculture - KM
KM-18267,Agriculture - KM
KM-18264,Agriculture - KM
KM-18263,Agriculture - KM
KM-18258,Agriculture - KM
KM-18254,Agriculture - KM
KM-18249,Agriculture - KM
KM-18270,Agriculture - KM
KM-18271,Agriculture - KM
KM-18273,Agriculture - KM
KM-18275,Agriculture - KM
KM-18276,Agriculture - KM
KM-18284,Agriculture - KM
KM-18280,Agriculture - KM
KM-18190,Agriculture - KM
KM-18193,Agriculture - KM
KM-18198,Agriculture - KM
KM-18212,Agriculture - KM
KM-18321,Agriculture - KM
KM-18323,Agriculture - KM
KM-18324,Agriculture - KM
KM-18261,Agriculture - KM
KM-18260,Agriculture - KM
KM-18287,Agriculture - KM
KM-18285,Agriculture - KM
KM-18283,Agriculture - KM
KM-18300,Agriculture - KM
KM-18259,Agriculture - KM
KM-18204,Agriculture - KM
KM-18327,Agriculture - KM
KM-18328,Agriculture - KM
KM-18238,Agriculture - KM
KM-18242,Agriculture - KM
KM-18247,Agriculture - KM
KM-18281,Agriculture - KM
KM-18326,Agriculture - KM
KM-18224,Agriculture - KM
KM-19282,Revenue
KM-19281,Horticulture
KM-19279,Revenue
KM-18360,Agriculture - KM
KM-18368,Agriculture - KM
KM-18356,Agriculture - KM
KM-18354,Agriculture - KM
KM-18347,Agriculture - KM
KM-18345,Agriculture - KM
